,estado,estadoSigla,municipio,cnes,nomeCnes,dataNotificacaoOcupacao,ofertaRespiradores,ofertaHospCli,ofertaHospUti,ofertaSRAGCli,ofertaSRAGUti,ocupHospCli,ocupHospUti,ocupSRAGCli,ocupSRAGUti,altas,obitos,ocupacaoInformada,algumaOcupacaoInformada
1028,Goiás,GO,Goiânia,2518414,HOSPITAL DA MULHER,2021-01-06,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
963,Goiás,GO,Goiânia,2338424,HOSPITAL DAS CLINICAS,2021-01-06,48.0,202.0,15.0,0.0,10.0,102.0,19.0,8.0,5,0.0,0,True,True
3409,Goiás,GO,Goiânia,2518465,HOSPITAL DE ACIDENTADOS,2021-01-06,0.0,30.0,9.0,0.0,0.0,15.0,5.0,0.0,3,0.0,0,True,True
1770,Goiás,GO,Goiânia,2506815,HOSPITAL DE CANCER,2021-01-05,14.0,144.0,10.0,0.0,0.0,81.0,9.0,14.0,0,0.0,0,True,True
2842,Goiás,GO,Goiânia,2653818,HOSPITAL DE DERMAT SANITARIA E REABILITACAO SANTA MARTA,2020-11-27,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2526,Goiás,GO,Goiânia,0086126,HOSPITAL DE ENFRENTAMENTO AO CORONAVIRUS DE GOIANIA,2020-08-07,0.0,193.0,0.0,94.0,86.0,65.0,75.0,65.0,75,21.0,4,True,True
2965,Goiás,GO,Goiânia,2338262,HOSPITAL DE URGENCIAS DE GOIANIA HUGO,2021-01-01,27.0,314.0,57.0,0.0,0.0,237.0,53.0,0.0,1,0.0,0,True,True
2947,Goiás,GO,Goiânia,7743068,HOSPITAL DE URGENCIAS GOV OTAVIO LAGE DE SIQUEIRA HUGOL,2020-12-29,110.0,280.0,86.0,30.0,23.0,289.0,79.0,9.0,7,0.0,0,True,True
2293,Goiás,GO,Goiânia,2518422,HOSPITAL DE UROLOGIA,2021-01-06,0.0,21.0,0.0,0.0,0.0,1.0,2.0,1.0,2,0.0,0,True,True
2296,Goiás,GO,Goiânia,2519275,HOSPITAL DO CORACAO,2021-01-06,0.0,54.0,9.0,0.0,0.0,27.0,15.0,3.0,2,1.0,0,True,True
3510,Goiás,GO,Goiânia,3546551,HOSPITAL DO CORACAO ANIS RASSI,2021-01-06,0.0,44.0,18.0,0.0,0.0,33.0,12.0,11.0,8,5.0,1,True,True
2410,Goiás,GO,Goiânia,5715482,HOSPITAL DO POLICIAL MILITAR HPM,2021-01-06,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3438,Goiás,GO,Goiânia,2665271,HOSPITAL DO RIM,2021-01-06,1.0,50.0,9.0,0.0,0.0,28.0,4.0,4.0,2,9.0,0,True,True
1029,Goiás,GO,Goiânia,2519089,HOSPITAL E MATERNIDADE DOM BOSCO,2021-01-06,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
3402,Goiás,GO,Goiânia,2506858,HOSPITAL E MATERNIDADE DONA IRIS,2021-01-06,20.0,81.0,0.0,0.0,0.0,69.0,10.0,3.0,0,0.0,0,True,True
2292,Goiás,GO,Goiânia,2518406,HOSPITAL E MATERNIDADE JARDIM AMERICA,2021-01-06,0.0,71.0,10.0,0.0,0.0,40.0,5.0,11.0,0,17.0,0,True,True
3585,Goiás,GO,Goiânia,0024074,HOSPITAL E MATERNIDADE MUNICIPAL CELIA CAMARA,2021-01-06,0.0,100.0,0.0,0.0,78.0,37.0,47.0,34.0,47,3.0,2,True,True
2211,Goiás,GO,Goiânia,2337754,HOSPITAL E MATERNIDADE SANTA BARBARA,2021-01-06,2.0,54.0,1.0,0.0,0.0,38.0,20.0,8.0,3,0.0,0,True,True
3340,Goiás,GO,Goiânia,2338378,HOSPITAL E MATERNIDADE VILA NOVA LTDA,2021-01-06,0.0,37.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0,True,True
2289,Goiás,GO,Goiânia,2506661,HOSPITAL ESTADUAL DE DOENCAS TROPICAIS DR ANUAR AUAD,2021-01-06,32.0,82.0,14.0,0.0,10.0,9.0,3.0,3.0,2,0.0,0,True,True
964,Goiás,GO,Goiânia,2338734,HOSPITAL GERAL DE GOIANIA DR ALBERTO RASSI HGG,2021-01-06,57.0,207.0,30.0,0.0,0.0,150.0,25.0,2.0,0,0.0,0,True,True
2214,Goiás,GO,Goiânia,2338440,HOSPITAL GOIANIA LESTE,2021-01-06,2.0,31.0,6.0,0.0,0.0,28.0,11.0,8.0,2,11.0,1,True,True
961,Goiás,GO,Goiânia,2337851,HOSPITAL INFANTIL DE CAMPINAS,2021-01-06,16.0,16.0,11.0,0.0,0.0,26.0,15.0,0.0,1,0.0,0,True,True
3506,Goiás,GO,Goiânia,3388638,HOSPITAL ISMAEL QUEIROZ,2021-01-06,0.0,102.0,12.0,0.0,12.0,0.0,0.0,0.0,0,0.0,0,True,True
960,Goiás,GO,Goiânia,2337800,HOSPITAL JACOB FACURI,2021-01-06,25.0,38.0,25.0,0.0,0.0,13.0,65.0,5.0,19,3.0,0,True,True
2217,Goiás,GO,Goiânia,2339196,HOSPITAL MATERNO INFANTIL,2021-01-06,34.0,109.0,17.0,0.0,0.0,86.0,21.0,1.0,1,0.0,0,True,True
1138,Goiás,GO,Goiânia,6383912,HOSPITAL MED PLASTIC,2021-01-06,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3344,Goiás,GO,Goiânia,2339765,HOSPITAL NEUROLOGICO,2021-01-06,17.0,48.0,6.0,0.0,0.0,37.0,13.0,4.0,2,1.0,0,True,True
3058,Goiás,GO,Goiânia,9744665,HOSPITAL ORION,2021-01-05,0.0,66.0,36.0,0.0,0.0,26.0,17.0,16.0,13,0.0,1,True,True
1030,Goiás,GO,Goiânia,2519208,HOSPITAL ORTOPEDICO DE GOIANIA GERALDO PEDRA,2021-01-06,6.0,69.0,4.0,0.0,0.0,25.0,8.0,1.0,5,1.0,0,True,True
3551,Goiás,GO,Goiânia,7306504,HOSPITAL PREMIUM,2021-01-06,0.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2462,Goiás,GO,Goiânia,9357661,HOSPITAL PROMED,2021-01-06,0.0,48.0,8.0,0.0,0.0,5.0,6.0,0.0,6,4.0,0,True,True
1492,Goiás,GO,Goiânia,2518155,HOSPITAL RENAISSANCE LTDA,2020-09-24,0.0,35.0,25.0,0.0,0.0,18.0,21.0,9.0,21,1.0,18,True,True
965,Goiás,GO,Goiânia,2339234,HOSPITAL RUY AZEREDO,2021-01-06,10.0,66.0,7.0,0.0,0.0,53.0,46.0,8.0,23,2.0,0,True,True
3343,Goiás,GO,Goiânia,2339706,HOSPITAL SAMARITANO,2021-01-06,0.0,71.0,10.0,0.0,0.0,42.0,12.0,7.0,4,0.0,0,True,True
2966,Goiás,GO,Goiânia,2519151,HOSPITAL SANTA CATARINA,2021-01-01,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2294,Goiás,GO,Goiânia,2518457,HOSPITAL SANTA HELENA,2021-01-06,0.0,80.0,10.0,0.0,0.0,44.0,25.0,5.0,7,2.0,0,True,True
548,Goiás,GO,Goiânia,2338114,HOSPITAL SANTA LUCIA,2021-01-05,2.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2212,Goiás,GO,Goiânia,2338173,HOSPITAL SANTA ROSA,2021-01-06,4.0,45.0,6.0,0.0,0.0,19.0,5.0,1.0,0,0.0,3,True,True
3406,Goiás,GO,Goiânia,2518090,HOSPITAL SANTA TEREZINHA,2021-01-06,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1556,Goiás,GO,Goiânia,2339137,HOSPITAL SAO DOMINGOS,2020-11-05,0.0,27.0,0.0,0.0,0.0,13.0,7.0,0.0,3,0.0,0,True,True
2218,Goiás,GO,Goiânia,2339218,HOSPITAL SAO FRANCISCO,2021-01-06,14.0,75.0,13.0,0.0,0.0,45.0,16.0,5.0,7,3.0,0,True,True
363,Goiás,GO,Goiânia,2338181,HOSPITAL SAO LUCAS,2020-12-11,0.0,63.0,15.0,0.0,0.0,28.0,13.0,3.0,4,2.0,0,True,True
3534,Goiás,GO,Goiânia,6650368,HOSPITAL UNIQUE,2021-01-06,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2219,Goiás,GO,Goiânia,2339668,HOSPITAL UROLOGICO PUIGEVERTE,2021-01-06,2.0,37.0,0.0,0.0,0.0,15.0,9.0,0.0,3,0.0,0,True,True
1449,Goiás,GO,Goiânia,2519054,IGOPE,2020-09-01,3.0,32.0,4.0,0.0,0.0,0.0,6.0,0.0,0,0.0,0,True,True
2373,Goiás,GO,Goiânia,3034658,INSTITUTO DE ANGIOLOGIA DE GOIANIA,2021-01-06,0.0,17.0,9.0,0.0,0.0,1.0,0.0,2.0,3,0.0,0,True,True
3341,Goiás,GO,Goiânia,2338467,INSTITUTO DE OLHOS DE GOIANIA,2021-01-06,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2295,Goiás,GO,Goiânia,2519186,INSTITUTO ESPIRITA BATUIRA DE SAUDE MENTAL,2021-01-06,0.0,133.0,0.0,133.0,0.0,142.0,0.0,0.0,0,0.0,0,True,True
962,Goiás,GO,Goiânia,2338149,INSTITUTO ORTOPEDICO DE GOIANIA IOG,2021-01-06,0.0,95.0,16.0,0.0,0.0,50.0,12.0,6.0,9,0.0,0,True,True
2290,Goiás,GO,Goiânia,2517949,MATERNIDADE E HOSPITAL SAO JUDAS TADEU,2021-01-06,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3408,Goiás,GO,Goiânia,2518392,MATERNIDADE ELA,2021-01-06,0.0,43.0,0.0,0.0,0.0,23.0,10.0,3.0,0,0.0,0,True,True
1031,Goiás,GO,Goiânia,2519356,MATERNIDADE MODELO,2021-01-06,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2215,Goiás,GO,Goiânia,2338564,MATERNIDADE NASCER CIDADAO,2021-01-06,2.0,34.0,0.0,0.0,0.0,33.0,0.0,0.0,0,0.0,0,True,True
2216,Goiás,GO,Goiânia,2339080,MATERNIDADE NOSSA SENHORA DE LOURDES,2021-01-06,2.0,27.0,0.0,0.0,0.0,28.0,0.0,0.0,0,0.0,0,True,True
2470,Goiás,GO,Goiânia,9619364,MAYA INTERNACAO,2021-01-06,0.0,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0,0.0,0,True,True
3339,Goiás,GO,Goiânia,2338130,PRONTO SOCORRO INFANTIL DE GOIANIA,2021-01-06,9.0,26.0,7.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0,True,True
2213,Goiás,GO,Goiânia,2338416,PRONTO SOCORRO PARA QUEIMADURAS LTDA,2021-01-06,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2551,Goiás,GO,Goiânia,2339463,PRONTO SOCORRO PSIQUIATRICO PROFESSOR WASSILY CHUC,2020-07-01,0.0,35.0,0.0,0.0,0.0,14.0,0.0,0.0,0,0.0,0,True,True
2882,Goiás,GO,Goiânia,2338351,SANTA CASA DE MISERICORDIA DE GOIANIA,2020-12-15,26.0,305.0,19.0,0.0,0.0,154.0,16.0,0.0,0,0.0,0,True,True
2376,Goiás,GO,Goiânia,3175650,UROCENTER,2021-01-06,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
982,Goiás,GO,Heitoraí,2382415,HOSPITAL MUNICIPAL DE HEITORAI,2021-01-06,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1632,Goiás,GO,Hidrolina,2534797,HOSPITAL MUNICIPAL DE HIDROLINA,2020-12-22,0.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
2848,Goiás,GO,Hidrolândia,2769875,HOSPITAL MUNICIPAL DE HIDROLANDIA,2020-12-01,0.0,22.0,0.0,0.0,0.0,7.0,0.0,1.0,0,1.0,0,True,True
2302,Goiás,GO,Iaciara,2534940,HOSPITAL MUNICIPAL DE IACIARA,2021-01-06,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2273,Goiás,GO,Inaciolândia,2438291,HOSPITAL MUNICIPAL JORGE ASSAD SALLES,2021-01-06,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2223,Goiás,GO,Indiara,2343185,HOSPITAL MUNICIPAL DE INDIARA,2021-01-06,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,12,True,True
3427,Goiás,GO,Inhumas,2589230,HOSPITAL DA MULHER,2021-01-06,0.0,26.0,0.0,0.0,0.0,15.0,0.0,0.0,0,2.0,0,True,True
454,Goiás,GO,Inhumas,2589192,HOSPITAL MUNICIPAL MONSENHOR ANGELINO FERNANDES E FERNANDES,2021-01-02,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0,True,True
309,Goiás,GO,Inhumas,2589214,HOSPITAL NOSSA SENHORA DAS GRACAS,2020-11-19,0.0,54.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0,True,True
2459,Goiás,GO,Ipameri,9276149,HOSPITAL NASR FAIAD IPAMERI,2021-01-06,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3552,Goiás,GO,Ipameri,7311494,PRONTO SOCORRO MUNICIPAL DE DOMICIANO RIBEIRO,2021-01-06,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2963,Goiás,GO,Ipameri,5893232,PRONTO SOCORRO MUNICIPAL DR CARLOS ANTONIO COSTA MAROT,2020-12-31,0.0,35.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
389,Goiás,GO,Iporá,2506998,HOSPITAL CRISTO REDENTOR IPORA GO,2020-12-22,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1019,Goiás,GO,Iporá,2443198,HOSPITAL E MATERNIDADE SAO PAULO IPORA,2021-01-06,0.0,18.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0.0,0,True,True
1018,Goiás,GO,Iporá,2443171,HOSPITAL EVANGELICO DE IPORA,2021-01-06,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,True,True
1032,Goiás,GO,Iporá,2519593,HOSPITAL MUNICIPAL DE IPORA,2021-01-06,2.0,33.0,0.0,0.0,0.0,10.0,0.0,5.0,0,0.0,0,True,True
2978,Goiás,GO,Itaberaí,2382482,HOSPITAL MUNICIPAL DE ITABERAI DR GILBERTO DA SILVA CALDAS,2021-01-03,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,True,True
2576,Goiás,GO,Itaguaru,2569841,HOSPITAL MUNICIPAL DE ITAGUARU,2020-05-19,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
554,Goiás,GO,Itajá,2438003,HOSPITAL MUNICIPAL DE ITAJA,2021-01-05,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
3412,Goiás,GO,Itapaci,2534517,HOSPITAL DR JOSE PEIXOTO DA SILVEIRA ITAPACI,2021-01-06,0.0,43.0,0.0,0.0,0.0,11.0,0.0,1.0,0,0.0,0,True,True
3042,Goiás,GO,Itapirapuã,2334275,HOSPITAL E MATERNIDADE MUNICIPAL DONA GENOVEVA REZENDE,2021-01-05,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8,True,True
1035,Goiás,GO,Itapuranga,2535157,HOSPITAL MUNICIPAL DE ITAPURANGA,2021-01-06,1.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
3390,Goiás,GO,Itapuranga,2441977,HOSPITAL SANTA CASA DO POVO,2021-01-06,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1011,Goiás,GO,Itarumã,2436930,HOSPITAL MUNICIPAL DE ITARUMA,2021-01-06,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
2793,Goiás,GO,Itauçu,2437120,HOSPITAL MUNICIPAL DE ITAUCU,2020-10-22,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2352,Goiás,GO,Itumbiara,2789647,HOSPITAL MUNICIPAL MODESTO DE CARVALHO,2021-01-06,10.0,79.0,0.0,0.0,0.0,42.0,4.0,2.0,0,1.0,0,True,True
2312,Goiás,GO,Itumbiara,2589265,HOSPITAL REGIONAL DE ITUMBIARA SAO MARCOS,2021-01-06,6.0,51.0,10.0,0.0,0.0,13.0,5.0,13.0,5,0.0,0,True,True
569,Goiás,GO,Itumbiara,7005660,HOSPITAL UNIMED REGIONAL SUL GOIAS,2021-01-05,7.0,45.0,0.0,0.0,0.0,21.0,7.0,1.0,2,6.0,0,True,True
288,Goiás,GO,Ivolândia,2535211,HOSPITAL MUNICIPAL NAZIR SEABRA GUIMARAES,2020-11-03,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2,True,True
2350,Goiás,GO,Jandaia,2769549,HOSPITAL MUNICIPAL DE JANDAIA,2021-01-06,1.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
300,Goiás,GO,Jaraguá,2507129,HOSPITAL E MATERNIDADE JARAGUA,2020-11-11,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2828,Goiás,GO,Jaraguá,2361949,HOSPITAL ESTADUAL DE JARAGUA SANDINO DE AMORIM,2020-11-19,1.0,44.0,0.0,0.0,0.0,16.0,19.0,0.0,3,0.0,0,True,True
3414,Goiás,GO,Jataí,2535556,HOSPITAL DAS CLINICAS DR SERAFIM DE CARVALHO,2021-01-06,19.0,89.0,10.0,0.0,15.0,44.0,12.0,5.0,12,1.0,0,True,True
2792,Goiás,GO,Jataí,7532024,HOSPITAL PADRE TIAGO NA PROVIDENCIA DE DEUS,2020-10-22,2.0,44.0,7.0,0.0,0.0,15.0,5.0,0.0,1,0.0,0,True,True
1659,Goiás,GO,Jataí,3287777,HOSPITAL UNIMED DE JATAI,2020-12-30,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0,True,True
2777,Goiás,GO,Jaupaci,2382644,HOSPITAL MUNICIPAL RIO CLARO JAUPACI,2020-10-06,0.0,10.0,0.0,0.0,0.0,5.0,0.0,2.0,0,0.0,0,True,True
1036,Goiás,GO,Joviânia,2536021,HOSPITAL MUNICIPAL SAO SEBASTIAO,2021-01-06,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3514,Goiás,GO,Jussara,3795292,HOSPITAL MUNICIPAL DR ABIUD PONCIANO DIAS,2021-01-06,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
1691,Goiás,GO,Luziânia,2340194,HOSPITAL REGIONAL DE LUZIANIA,2021-01-03,0.0,10.0,0.0,31.0,17.0,16.0,10.0,16.0,10,0.0,0,True,True
565,Goiás,GO,Luziânia,5882451,HOSPITAL REGIONAL DO JARDIM INGA,2021-01-05,1.0,44.0,0.0,0.0,0.0,17.0,0.0,2.0,0,0.0,0,True,True
2943,Goiás,GO,Mairipotaba,2570424,HOSPITAL MUNICIPAL SAO SEBASTIAO DE MAIRIPOTABA,2020-12-29,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,4,True,True
2272,Goiás,GO,Mambaí,2437988,HOSPITAL MUNICIPAL DE MAMBAI,2021-01-06,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,True,True
1675,Goiás,GO,Mara Rosa,2507714,HOSPITAL E MATERNIDADE SANTO ANTONIO MARA ROSA,2021-01-01,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,True,True
2941,Goiás,GO,Mara Rosa,2569671,HOSPITAL MUNICIPAL JOSE INOCENCIO DE OLIVEIRA DE MARA ROSA,2020-12-29,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11,True,True
3351,Goiás,GO,Marzagão,2371367,HOSPITAL MUNICIPAL DE MARZAGAO,2021-01-06,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,True,True
2939,Goiás,GO,Matrinchã,2384256,HOSPITAL MUNICIPAL SANTA LUZIA,2020-12-29,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3415,Goiás,GO,Maurilândia,2535742,HOSPITAL MUNICIPAL MILTON AMARO DO NASCIMENTO,2021-01-06,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
1528,Goiás,GO,Minaçu,2438313,HOSPITAL MUNICIPAL DR EDNALDO BARBOZA MACHADO,2020-10-22,5.0,52.0,0.0,0.0,0.0,16.0,0.0,1.0,0,0.0,0,True,True
2694,Goiás,GO,Mineiros,2571242,HOSPITAL DAS CLINICAS DR NEVES,2020-08-19,2.0,27.0,0.0,0.0,0.0,10.0,0.0,6.0,0,0.0,0,True,True
2847,Goiás,GO,Mineiros,2442965,HOSPITAL FAMP SAMARITANO,2020-11-30,0.0,68.0,0.0,0.0,0.0,13.0,0.0,0.0,0,0.0,0,True,True
1171,Goiás,GO,Mineiros,8013543,HOSPITAL MUNICIPAL DR EVARISTO VILELA MACHADO,2021-01-06,0.0,68.0,10.0,0.0,10.0,0.0,0.0,0.0,6,0.0,0,True,True
1217,Goiás,GO,Mineiros,2570378,HOSPITAL NOSSA SENHORA DE FATIMA,2021-01-07,0.0,34.0,0.0,0.0,0.0,19.0,0.0,1.0,0,0.0,0,True,True
255,Goiás,GO,Mineiros,2571072,HOSPITAL SAO LUCAS,2020-10-09,2.0,33.0,0.0,0.0,0.0,12.0,0.0,2.0,0,0.0,0,True,True
1034,Goiás,GO,Monte Alegre de Goiás,2534924,HOSPITAL MUNICIPAL DE MONTE ALEGRE DE GOAIS,2021-01-06,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2706,Goiás,GO,Montes Claros de Goiás,2383985,HOSPITAL MUNICIPAL DE MONTES CLAROS DE GOIAS,2020-08-26,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,87.0,0,True,True
433,Goiás,GO,Montividiu,2535637,HOSPITAL MATERNO INFANTIL DONA ZEBINA,2020-12-30,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
556,Goiás,GO,Morrinhos,2443031,CASA DE SAUDE SYLVIO DE MELLO,2021-01-05,2.0,42.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0.0,0,True,True
983,Goiás,GO,Morrinhos,2382466,HOSPITAL MUNICIPAL DE MORRINHOS,2021-01-06,5.0,46.0,0.0,0.0,0.0,22.0,0.0,2.0,0,0.0,0,True,True
3393,Goiás,GO,Morrinhos,2443023,HOSPITAL NOSSA SENHORA DO CARMO,2021-01-06,1.0,20.0,0.0,0.0,0.0,7.0,0.0,3.0,0,0.0,0,True,True
553,Goiás,GO,Morro Agudo de Goiás,2437198,HOSPITAL MUNICIPAL DE MORRO AGUDO DE GOIAS,2021-01-05,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1658,Goiás,GO,Mozarlândia,2535165,HOSPITAL MUNICIPAL DE MOZARLANDIA,2020-12-29,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
1562,Goiás,GO,Mundo Novo,2333988,HOSPITAL MUNICIPAL DE MUNDO NOVO,2020-11-13,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
446,Goiás,GO,Mutunópolis,2382938,HOSPITAL MUNICIPAL DE MUTUNOPOLIS,2020-12-31,0.0,19.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0.0,0,True,True
319,Goiás,GO,Nazário,3461289,HOSPITAL MUNICIPAL VEREADOR JOSE SEVERINO DE AGUIAR,2020-11-25,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2830,Goiás,GO,Nerópolis,2442019,HOSPITAL SAGRADO CORACAO DE JESUS NEROPOLIS,2020-11-20,36.0,85.0,48.0,0.0,0.0,4.0,4.0,4.0,4,310.0,68,True,True
1585,Goiás,GO,Niquelândia,7681585,HOSPITAL CENTER MED,2020-12-03,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
3049,Goiás,GO,Niquelândia,2534789,HOSPITAL MUNICIPAL SANTA EFIGENIA NIQUELANDIA,2021-01-05,0.0,62.0,0.0,0.0,0.0,4.0,0.0,1.0,0,1102.0,35,True,True
2839,Goiás,GO,Niquelândia,2442817,HOSPITAL SANTA MARTA NIQUELANDIAGO,2020-11-24,0.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,True,True
1661,Goiás,GO,Nova América,7779011,UNIDADE MISTA ANTONIO FLEURY DE BARROS,2020-12-29,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2922,Goiás,GO,Nova Crixás,2437023,HOSPITAL MUNICIPAL DE NOVA CRIXAS,2020-12-28,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,True,True
250,Goiás,GO,Novo Brasil,2382237,HOSPITAL E MATERNIDADE MUNICIPAL DE NOVO BRASIL,2020-10-06,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
405,Goiás,GO,Orizona,2442450,HOSPITAL E MATERNIDADE SAO PIO X LTDA ORIZONA,2020-12-28,0.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0,True,True
1684,Goiás,GO,Ouvidor,2442302,HOSPITAL MUNICIPAL SANTO ANTONIO OUVIDOR,2021-01-02,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2719,Goiás,GO,Padre Bernardo,2437171,HOSPITAL MUNICIPAL DR MARIA MARCIA GONZAGA,2020-09-01,0.0,34.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0,True,True
1108,Goiás,GO,Palestina de Goiás,3485536,HOSPITAL MUNICIPAL LAUDELINO BUENO DA SILVA,2021-01-06,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1,True,True
1630,Goiás,GO,Palmelo,2436914,HOSPITAL MUNICIPAL SAULO GOMES PALMELO,2020-12-23,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
2270,Goiás,GO,Palminópolis,2437775,HOSPITAL MUNICIPAL JOAO VITORINO,2021-01-06,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,True,True
2238,Goiás,GO,Panamá,2382148,UNIDADE MISTA DE SAUDE DE PANAMA,2021-01-06,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
986,Goiás,GO,Paranaiguara,2383578,HOSPITAL MUNICIPAL DR MANUELITO PARANAIGUARA,2021-01-06,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,True,True
1135,Goiás,GO,Paraúna,6277578,HOSPITAL MUNICIPAL DE PARAUNA,2021-01-06,1.0,21.0,0.0,0.0,0.0,6.0,0.0,1.0,0,1.0,0,True,True
